Model_Name,Brand,weight(pounds),Ratings,Price($),Color
Reflect Contour,JBL,0.0396875,0.0023092579763381612,32,White
Arctis Nova 1 Multi-System Gaming Headset - White,SteelSeries,unknown,0.00080555510802494,50,White
Hesh 3,Skullcandy,0.6,0.009684562520922056,49,Deep Red
BlackShark V2 X,Razer,0.53125,0.2216887657284635,54,Quartz Pink
ATH-SQ1TWWH,Audio-Technica,0.2625,0.00030432081858719956,79,White
S2WUW-K605,Skullcandy,0.3125,0.01858147115844195,44,Gray/Red
BlackShark V2 X,Razer,0.61875,0.00030432081858719956,45,Black
KZ ZS10,KZ,0.0506875,0.003383331453704748,57,Blue
JBL TUNE 120TWS - Yellow,JBL,0.160625,0.00972036497016761,49,Yellow
Sony MDRXB50AP Extra Bass Earbud Headphones,Sony,0.017625,0.07301909523630512,25,Blue
AfterShokz Open Ear Wireless Bone,Aftershokz,0.088125,0.09731105704941274,129,Red
A3902,Soundcore,0.12,0.010042587013377586,23,Black
Uplift,House of Marley,0.088125,0.0029178996135125605,59,Silver
HAA8T,JVC,0.2,0.001575307766804327,18,Red
Wired Chips Adaptable,Outdoor Tech,0.1875,1.7901224622776444e-05,47,Black
Swivel,Sony,0.0625,0.015162337255491648,64,Black
MM 50iP,Sennheiser,0.200625,0.009040118434502104,74,Black
VERTICAL IN THE EAR HEADPHONE,Sony,0.16875,0.0013962955205765626,109,Black
ISOtunes PRO,ISOtunes,0.3125,0.06335243394000584,109,Matte Black
Luma,Urbanears,0.0396875,0.0003759257170783053,16,Ultra Violet
ATH-GL3WH,Audio-Technica,0.5,0.0012172832743487982,99,White
Sennheiser SC 60 USB ML,EPOS,0.23375,0.027925910411531252,56,Black
A5205,Philips Audio,0.190625,0.0006802465356655049,35,Black
True Wireless Bluetooth Earphones with Dual Hybrid Noise Cancelling,Panasonic,0.044,0.011385178860085818,97,Grey
RPD-01,Adidas,0.4625,0.0013783942959537862,69,Grey
TWS Mid Range 2022,Audio,0.3125,0.00046543184019218756,22,Black
Bullets TYPE-C,OnePlus,0.28125,0.05964688044309111,12,Black
SOUNDFORM Mini,Belkin,0.9,0.0520567612030339,26,Blue
RPD-01,adidas,0.4625,0.0013783942959537862,69,Grey
Sealed Studio Monitor Headphones HD661,Superlux,0.41875,0.00266728246879369,58,wht
Kids,Philips Audio,0.65,0.003025306961249219,25,Blue
3DSLH01,Sony,0.146875,0.0006086416371743991,109,Black
T4506,Philips Audio,0.3,0.0005549379633060698,72,Teal
MDR - ZX110 NC,Sony,0.55,0.006283329842594532,52,Black
199342,Maxell,0.6,0.0002864195939644231,20,Black
Arctis Prime,SteelSeries,unknown,0.011761104577164123,65,Black
2019 TWS,Philips Audio,0.000125,0.08957772801237332,29,Black
JBL Endurance Peak - Black,JBL,0.21875,0.033314179022986966,49,Black
MDRAS800AP,Sony,0.02,0.0036876522722919477,24,Black
C1002,1MORE,0.05,0.0010561722527438102,61,Black
Relays Sport,SOL REPUBLIC,0.07,0.0006623453110427284,29,Lime
AS12,erjigo,0.006625,0.005173453915982392,37,Black
USB Wired Headset,Yealink,0.11,0.0024345665486975965,89,Black/Silver
ATH-CKS5TWBL,Audio-Technica,0.16625,0.0011993820497260218,119,Blue
ATH EP700 BW,Audio-Technica,unknown,0.0017185175637865386,78,brown 
TWS Mid Range 2022,Audio,0.2625,0.0001253085723594351,22,White
R190,UrbanX,0.3125,0.0011814808251032452,46,Purple
WF-1000XM3/S,Sony,0.0088125,0.4038337262652138,89,Silver
T1XS,FIIL,0.36875,0.02586726957991196,59,Black
ER23-HF3-BLACK-I,Etymotic Research,0.25,0.002899998388889784,59,Black
MDR-EX100AP/L,Sony,0.0125,0.010704932324420314,24,Blue
ATH-WS550,Audio-Technica,0.5625,0.000483333064814964,70,black gold
SE215,Shure,0.02425,0.0005191355140605169,50,Clear
HP Bluetooth Headset 500,HP,0.48125,0.0005728391879288462,99,Black
HAET45TP,JVC,0.55,0.0002506171447188702,76,Pink
TR-V124.EXV0M,Tech2Go,0.1,0.0005191355140605169,11,Pink
HLT-NHE-BT-P,Lucid Audio,0.13,0.00019691347085054088,29,White
WF-1000XM4,Sony,0.0625,0.0034549363521958537,228,Black
ATH-CM2000TI,Audio-Technica,unknown,0.0002864195939644231,99,Black
T-600,COMPLY,0.044,0.005835799227025121,11,Black
MW60S2,MASTER & DYNAMIC,0.1875,0.004475306155694111,449,Silver 
Beoplay E8 Sport,Bang & Olufsen,0.725,0.008162958427986058,299,Black
H-3,PHOINIKAS,0.76875,0.1423326369756955,31,Yellow
RUN XT,Jaybird,0.56875,0.001897529810014303,74,Storm Grey/Glacier
Solo3,Beats,unknown,0.0008234563326477164,228,Satin Silver
HAFX9BTW,JVC,0.13,0.001897529810014303,15,White
MDR1RNC,Sony,0.0625,0.0019870359331281852,319,Black
AU-Flex ANC,ausounds,0.22,0.0010382710281210338,99,Black
HAAE5TB,JVC,0.48125,0.0002864195939644231,27,Black
AfterShokz Trekz ,Aftershokz,0.07,0.08136106591051893,129,Slate Grey
Tx-500,COMPLY,0.004375,0.036321584759613404,9,Black
Ultrasone IQ Headphones,Ultrasone,0.01875,3.580244924555289e-05,949,Silver
SHE2105WT/28,Philips,0.035,0.007625921689302765,19,White
